------;Straftaten insgesamt;5436401
0;Straftaten gegen das Leben;3054
10000;Mord § 211 StGB;720
10079;Sonstiger Mord;679
11000;Mord im Zusammenhang mit Raubdelikten;37
12000;Mord im Zusammenhang mit Sexualdelikten;4
20000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;1595
20010;Totschlag § 212 StGB;1577
20020;Minder schwerer Totschlag § 213 StGB;1
20030;Tötung auf Verlangen § 216 StGB;17
30000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;662
40000;Abbruch der Schwangerschaft §§ 218, 218b, 218c, 219a, 219b StGB;76
40010;Schwangerschaftsabbruch § 218 StGB;72
40020;Schwangerschaftsabbruch ohne ärztliche Feststellung, unrichtige ärztliche Feststellung § 218b StGB;2
40030;Ärztliche Pflichtverletzung § 218c StGB;0
40040;Werbung für den Abbruch der Schwangerschaft § 219a StGB;1
40050;Inverkehrbringen von Mitteln Schwangerschaftsabbruch § 219b StGB;1
50000;Geschäftsmäßige Förderung der Selbsttötung;1
100000;Straftaten gegen die sexuelle Selbstbestimmung insgesamt;69881
110000;Straftaten gegen die sexuelle Selbstbestimmung §§ 174, 174a, 174b, 174c, 177, 178, 184i, 184j StGB;29606
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;9426
111700;Vergewaltigung § 177 Abs. 6, 7, 8 StGB;8541
111710;Vergewaltigung § 177 Abs. 6 Nr. 1, 2 StGB (ohne Schlüssel 111730);6766
111720;Vergewaltigung im besonders schweren Fall § 177 Abs. 6 Nr. 1, 2 i. V. m. Abs. 7, 8 StGB;596
111730;Vergewaltigung von widerstandsunfähigen Personen (§ 177 Abs. 2 Nr. 1, Abs. 4) gem. § 177 Abs. 6 Nr. 1, 2 StGB;1179
111800;Sexueller Übergriff und sexuelle Nötigung im besonders schweren Fall § 177 Abs. 1, 2, 4, 5 i. V. m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;883
111810;Sexueller Übergriff im besonders schweren Fall § 177 Abs. 1, 2 (ohne Nr. 1) i. V. m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;368
111820;Sexuelle Nötigung im besonders schweren Fall § 177 Abs. 5 i.V.m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;388
111830;Sexueller Übergriff an widerstandsunfähigen Personen im besonders schweren Fall § 177 Abs. 2 Nr. 1, Abs. 4 i. V. m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;127
111900;Sexueller Übergriff, sexuelle Nötigung und Vergewaltigung mit Todesfolge § 178 StGB;2
112100;Sexueller Übergriff und sexuelle Nötigung § 177 Abs. 1, 2, 4, 5, 9 StGB;5929
112110;Sexueller Übergriff § 177 Abs. 1, 2 (ohne Nr. 1), 9 StGB;2616
112120;Sexuelle Nötigung § 177 Abs. 5, 9 StGB;2615
112130;Sexueller Übergriff an widerstandsunfähigen Personen § 177 Abs. 2 Nr. 1, Abs. 4, 9 StGB;698
113000;Sexueller Missbrauch von Schutzbefohlenen pp., unter Ausnutzung einer Amtsstellung oder eines Vertrauensverhältnisses §§ 174, 174a-c StGB;574
113010;Sexueller Missbrauch von Schutzbefohlenen ab 14 Jahren § 174 StGB;388
113020;Sexueller Missbrauch von Gefangenen/Verwahrten usw. ab 14 Jahren § 174a StGB;41
113030;Sexueller Missbrauch - Ausnutzung einer Amtsstellung zum Nachteil von Personen ab 14 Jahren § 174b StGB;1
113040;Sexueller Missbrauch - Ausnutzung eines Beratungs-/Behandlungs-/Betreuungsverhältnisses zum Nachteil von Personen ab 14 Jahren § 174c StGB;144
114000;Sexuelle Belästigung § 184i StGB;13645
115000;Straftaten aus Gruppen § 184j StGB;32
130000;Sexueller Missbrauch §§ 176, 176a, 176b, 182, 183, 183a StGB;22137
131000;Sexueller Missbrauch von Kindern §§ 176, 176a, 176b StGB;13670
131010;Sexuelle Handlungen § 176 Abs. 5 StGB;123
131100;Sexuelle Handlungen § 176 Abs. 1 und 2 StGB;5671
131200;Exhibitionistische/sexuelle Handlungen vor Kindern § 176 Abs. 4 Nr. 1 StGB;1458
131300;Sexuelle Handlungen § 176 Abs. 4 Nr. 2 StGB;523
131400;Einwirken auf Kinder § 176 Abs. 4 Nr. 3 und 4 StGB;3264
131500;Vollzug des Beischlafs mit einem Kind oder Vornahme einer ähnlichen sexuellen Handlung § 176a Abs. 2 Nr. 1 StGB;1035
131600;Schwerer sexueller Missbrauch von Kindern zur Herstellung und Verbreitung pornographischer Schriften § 176a Abs. 3 StGB;186
131700;Sonstiger schwerer sexueller Missbrauch von Kindern § 176a StGB;1410
131800;Sexueller Missbrauch von Kindern mit Todesfolge § 176b StGB;0
132000;Exhibitionistische Handlungen und Erregung öffentlichen Ärgernisses §§ 183, 183a StGB;7567
132010;Exhibitionistische Handlungen § 183 StGB;6588
132020;Erregung öffentlichen Ärgernisses § 183a StGB;979
133000;Sexueller Missbrauch von Jugendlichen § 182 StGB;900
133100;Sexueller Missbrauch von Jugendlichen gegen Entgelt § 182 Abs. 2 StGB;254
133700;Sonstiger Sexueller Missbrauch von Jugendlichen § 182 StGB;646
140000;Ausnutzen sexueller Neigung §§ 180, 180a, 181a, 184, 184a, 184b, 184c, 184d, 184e, 184f, 184g StGB;18138
140010;Ausübung der verbotenen Prostitution § 184f StGB;554
140020;Jugendgefährdende Prostitution § 184g StGB;10
141000;Förderung sexueller Handlungen Minderjähriger oder Ausbeuten von Prostituierten §§ 180, 180a StGB;102
141100;Förderung sexueller Handlungen Minderjähriger § 180 StGB;76
141110;Förderung sexueller Handlungen Minderjähriger durch Vermittlung oder gegen Entgelt § 180 Abs. 1, Nr. 1, Abs. 2 StGB;45
141179;Sonstige Förderung sexueller Handlungen Minderjähriger § 180 StGB;31
141200;Ausbeuten von Prostituierten § 180a StGB;26
142000;Zuhälterei § 181a StGB;136
143000;Verbreitung pornographischer Schriften (Erzeugnisse) §§ 184, 184a, 184b, 184c, 184d, 184e StGB;17336
143010;Sonstige Verbreitung pornographischer Schriften (Erzeugnisse) § 184 StGB;1212
143020;Verbreitung gewalt- oder tierpornographischer Schriften § 184a StGB;219
143030;Zugänglichmachen pornographischer Inhalte mittels Rundfunk oder Telemedien;69
143040;Veranstaltung und Besuch kinder- und jugendpornographischer Darbietungen § 184e StGB;0
143100;Verbreitung pornographischer Schriften (Erzeugnisse) an Personen unter 18 Jahren § 184 Abs. 1 Nr. 1, 2, 5 StGB;1583
143200;Verbreitung, Erwerb, Besitz und Herstellung kinderpornographischer Schriften § 184b StGB;12262
143210;Verbreitung, Erwerb, Besitz und Herstellung von Kinderpornographie § 184b Abs. 1 StGB;6692
