------;Straftaten insgesamt;5961662
0;Straftaten gegen das Leben;2951
10000;Mord § 211 StGB darunter:;647
10079;Sonstiger Mord;602
11000;Mord im Zusammenhang mit Raubdelikten;39
12000;Mord im Zusammenhang mit Sexualdelikten;6
20000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;1475
20010;Totschlag § 212 StGB;1466
20020;Minder schwerer Totschlag § 213 StGB;2
20030;Tötung auf Verlangen § 216 StGB;7
30000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;754
40000;Abbruch der Schwangerschaft §§ 218, 218b, 218c, 219a, 219b StGB;75
40010;Schwangerschaftsabbruch § 218 StGB;61
40020;Schwangerschaftsabbruch ohne ärztliche Feststellung, unrichtige ärztliche Feststellung § 218b StGB;2
40030;Ärztliche Pflichtverletzung § 218c StGB;1
40040;Werbung für den Abbruch der Schwangerschaft § 219a StGB;11
40050;Inverkehrbringen von Mitteln Schwangerschaftsabbruch § 219b StGB;0
100000;Straftaten gegen die sexuelle Selbstbestimmung;46793
110000;Straftaten gegen die sexuelle Selbstbestimmung unter Gewaltanwendung oder Ausnutzen eines Abhängigkeitsverhältnisses §§ 174, 174a, 174b, 174c, 177, 178 StGB davon:;12897
111000;Vergewaltigung und sexuelle Nötigung §§ 177 Abs. 2, 3 und 4, 178 StGB davon:;7408
111100;Vergewaltigung überfallartig (Einzeltäter) gemäß § 177 Abs. 2 Nr. 1, Abs. 3 und 4 StGB;1305
111200;Vergewaltigung überfallartig (durch Gruppen) gemäß § 177 Abs. 2 Nr. 2 StGB;136
111300;Vergewaltigung durch Gruppen gemäß § 177 Abs. 2 Nr. 2 StGB;287
111400;Sonstige Straftaten gemäß § 177 Abs. 2 Nr. 1, Abs. 3 und 4 StGB;5679
111500;Vergewaltigung/sexuelle Nötigung mit Todesfolge § 178 StGB;1
112000;Sonstige sexuelle Nötigung § 177 Abs. 1 und 5 StGB;4868
