------;Straftaten insgesamt;6082064
0;Straftaten gegen das Leben;2962
10000;Mord § 211 StGB ;664
10079;Sonstiger Mord;602
11000;Mord im Zusammenhang mit Raubdelikten;44
12000;Mord im Zusammenhang mit Sexualdelikten;18
20000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;1515
20010;Totschlag § 212 StGB;1491
20020;Minder schwerer Totschlag § 213 StGB;7
20030;Tötung auf Verlangen § 216 StGB;17
30000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;698
40000;Abbruch der Schwangerschaft §§ 218, 218b, 218c, 219a, 219b StGB;85
40010;Schwangerschaftsabbruch § 218 StGB;80
40020;Schwangerschaftsabbruch ohne ärztliche Feststellung, unrichtige ärztliche Feststellung § 218b StGB;2
40030;Ärztliche Pflichtverletzung § 218c StGB;1
40040;Werbung für den Abbruch der Schwangerschaft § 219a StGB;2
40050;Inverkehrbringen von Mitteln Schwangerschaftsabbruch § 219b StGB;0
100000;Straftaten gegen die sexuelle Selbstbestimmung;46982
110000;Straftaten gegen die sexuelle Selbstbestimmung unter Gewaltanwendung oder Ausnutzen eines Abhängigkeitsverhältnisses §§ 174, 174a, 174b, 174c, 177, 178 StGB;12537
111000;Vergewaltigung und sexuelle Nötigung §§ 177 Abs. 2, 3 und 4, 178 StGB;7345
111100;Vergewaltigung überfallartig (Einzeltäter) gemäß § 177 Abs. 2 Nr. 1, Abs. 3 und 4 StGB;1316
111200;Vergewaltigung überfallartig (durch Gruppen) gemäß § 177 Abs. 2 Nr. 2 StGB;129
111300;Vergewaltigung durch Gruppen gemäß § 177 Abs. 2 Nr. 2 StGB;294
111400;Sonstige Straftaten gemäß § 177 Abs. 2 Nr. 1, Abs. 3 und 4 StGB;5606
111500;Vergewaltigung/sexuelle Nötigung mit Todesfolge § 178 StGB;0
112000;Sonstige sexuelle Nötigung § 177 Abs. 1 und 5 StGB;4622
113000;Sexueller Missbrauch von Schutzbefohlenen pp., unter Ausnutzung einer Amtsstellung oder eines Vertrauensverhältnisses §§ 174, 174a-c StGB;570
113010;Sexueller Missbrauch von Schutzbefohlenen ab 14 Jahren § 174  StGB;388
113020;Sexueller Missbrauch von Gefangenen/Verwahrten usw. ab 14 Jahren § 174a StGB;33
113030;Sexueller Missbrauch - Ausnutzung einer Amtsstellung zum Nachteil von Personen ab 14 Jahren § 174b StGB;9
113040;Sexueller Missbrauch - Ausnutzung eines Beratungs-/Behandlungs-/Betreuungsverhältnisses zum Nachteil von Personen ab 14 Jahren § 174c StGB;140
130000;Sexueller Missbrauch §§ 176, 176a, 176b, 179, 182, 183, 183a StGB;22422
131000;Sexueller Missbrauch von Kindern §§ 176, 176a, 176b StGB ;12134
131010;Sexuelle Handlungen gemäß § 176 Abs. 5 StGB;138
131100;Sexuelle Handlungen gemäß § 176 Abs. 1 und 2 StGB;5230
131200;Exhibitionistische/sexuelle Handlungen vor Kindern § 176 Abs. 4 Nr. 1 StGB;1830
131300;Sexuelle Handlungen gemäß § 176 Abs. 4 Nr. 2 StGB;523
131400;Einwirken auf Kinder gemäß § 176 Abs. 4 Nr. 3 und 4 StGB;1907
131500;Vollzug des Beischlafs mit einem Kind oder Vornahme einer ähnlichen sexuellen Handlung nach § 176a Abs. 2 Nr. 1 StGB;1017
131600;Schwerer sexueller Missbrauch von Kindern zur Herstellung und Verbreitung pornographischer Schriften § 176a Abs. 3 StGB;109
131700;Sonstiger schwerer sexueller Missbrauch von Kindern gemäß § 176a StGB;1380
131800;Sexueller Missbrauch von Kindern mit Todesfolge § 176b StGB;0
132000;Exhibitionistische Handlungen und Erregung öffentlichen Ärgernisses §§ 183, 183a StGB;7722
