------;Straftaten insgesamt;6330649
0;Straftaten gegen das Leben;2991
10000;Mord § 211 StGB;649
10079;Sonstiger Mord;600
11000;Mord im Zusammenhang mit Raubdelikten;36
12000;Mord im Zusammenhang mit Sexualdelikten;13
20000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;1467
20010;Totschlag § 212 StGB;1448
20020;Minder schwerer Totschlag § 213 StGB;6
20030;Tötung auf Verlangen § 216 StGB;13
30000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;756
40000;Abbruch der Schwangerschaft §§ 218, 218b, 218c, 219a, 219b StGB;119
40010;Schwangerschaftsabbruch § 218 StGB;85
40020;Schwangerschaftsabbruch ohne ärztliche Feststellung, unrichtige ärztliche Feststellung § 218b StGB;6
40030;Ärztliche Pflichtverletzung § 218c StGB;1
40040;Werbung für den Abbruch der Schwangerschaft § 219a StGB;27
40050;Inverkehrbringen von Mitteln Schwangerschaftsabbruch § 219b StGB;0
100000;Straftaten gegen die sexuelle Selbstbestimmung;46081
110000;Straftaten gegen die sexuelle Selbstbestimmung unter Gewaltanwendung oder Ausnutzen eines Abhängigkeitsverhältnisses §§ 174, 174a, 174b, 174c, 177, 178 StGB;12405
111000;Vergewaltigung und sexuelle Nötigung §§ 177 Abs. 2, 3 und 4, 178 StGB;7022
111100;Vergewaltigung überfallartig (Einzeltäter) gemäß § 177 Abs. 2 Nr. 1, Abs. 3 und 4 StGB;1134
111200;Vergewaltigung überfallartig (durch Gruppen) gemäß § 177 Abs. 2 Nr. 2 StGB;146
111300;Vergewaltigung durch Gruppen gemäß § 177 Abs. 2 Nr. 2 StGB;254
111400;Sonstige Straftaten gemäß § 177 Abs. 2 Nr. 1, Abs. 3 und 4 StGB;5488
111500;Vergewaltigung/sexuelle Nötigung mit Todesfolge § 178 StGB;0
112000;Sonstige sexuelle Nötigung § 177 Abs. 1 und 5 StGB;4786
113000;Sexueller Missbrauch von Schutzbefohlenen pp., unter Ausnutzung einer Amtsstellung oder eines Vertrauensverhältnisses §§ 174, 174a-c StGB;597
113010;Sexueller Missbrauch von Schutzbefohlenen ab 14 Jahren § 174 StGB;416
113020;Sexueller Missbrauch von Gefangenen/Verwahrten usw. ab 14 Jahren § 174a StGB;26
113030;Sexueller Missbrauch - Ausnutzung einer Amtsstellung zum Nachteil von Personen ab 14 Jahren § 174b StGB;6
113040;Sexueller Missbrauch - Ausnutzung eines Beratungs-/Behandlungs-/Betreuungsverhältnisses zum Nachteil von Personen ab 14 Jahren § 174c StGB;149
130000;Sexueller Missbrauch §§ 176, 176a, 176b, 179, 182, 183, 183a StGB;21860
131000;Sexueller Missbrauch von Kindern §§ 176, 176a, 176b StGB;11808
131010;Sexuelle Handlungen gemäß § 176 Abs. 5 StGB;127
131100;Sexuelle Handlungen gemäß § 176 Abs. 1 und 2 StGB;5032
131200;Exhibitionistische/sexuelle Handlungen vor Kindern § 176 Abs. 4 Nr. 1 StGB;1701
131300;Sexuelle Handlungen gemäß § 176 Abs. 4 Nr. 2 StGB;592
131400;Einwirken auf Kinder gemäß § 176 Abs. 4 Nr. 3 und 4 StGB;1958
