------;Straftaten insgesamt;5761984
0;Straftaten gegen das Leben;3227
10000;Mord § 211 StGB;785
10079;Sonstiger Mord;735
11000;Mord im Zusammenhang mit Raubdelikten;42
12000;Mord im Zusammenhang mit Sexualdelikten;8
20000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;1594
20010;Totschlag § 212 StGB;1570
20020;Minder schwerer Totschlag § 213 StGB;7
20030;Tötung auf Verlangen § 216 StGB;17
30000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;737
40000;Abbruch der Schwangerschaft §§ 218, 218b, 218c, 219a, 219b StGB;110
40010;Schwangerschaftsabbruch § 218 StGB;78
40020;Schwangerschaftsabbruch ohne ärztliche Feststellung, unrichtige ärztliche Feststellung § 218b StGB;9
40030;Ärztliche Pflichtverletzung § 218c StGB;2
40040;Werbung für den Abbruch der Schwangerschaft § 219a StGB;21
40050;Inverkehrbringen von Mitteln Schwangerschaftsabbruch § 219b StGB;0
50000;Geschäftsmäßige Förderung der Selbsttötung;1
100000;Straftaten gegen die sexuelle Selbstbestimmung;56047
110000;Straftaten gegen die sexuelle Selbstbestimmung §§ 174, 174a, 174b, 174c, 177, 178, 184i, 184j StGB;24523
111000;Vergewaltigung und sexuelle Nötigung/Übergriffe §§ 177 Abs. 1, 2, 3, 4, 6, 7, 8 und 9, 178 StGB;11282
111100;Vergewaltigung überfallartig (Einzeltäter) § 177 Abs. 6 Nr. 1, Abs. 7 und 8 StGB;946
111200;Vergewaltigung überfallartig (durch Gruppen) § 177 Abs. 6 Nr. 2, Abs. 7 und 8 StGB;122
111300;Vergewaltigung durch Gruppen § 177 Abs. 6 Nr. 2, Abs. 7 und 8 StGB;258
111400;Sonstige Straftaten gemäß § 177 Abs. 6 Nr. 1, Abs. 7 und 8 StGB;6158
111500;Sexueller Übergriff, sexuelle Nötigung und Vergewaltigung mit Todesfolge § 178 StGB;11
111600;Sexuelle Übergriffe § 177 Abs. 1, 2, 3, 4, 7, 8 und 9 StGB;3787
112000;Sonstige sexuelle Nötigung § 177 Abs. 5, 7, 8 und 9 StGB;2978
113000;Sexueller Missbrauch von Schutzbefohlenen pp., unter Ausnutzung einer Amtsstellung oder eines Vertrauensverhältnisses §§ 174, 174a-c StGB;607
113010;Sexueller Missbrauch von Schutzbefohlenen ab 14 Jahren § 174 StGB;403
113020;Sexueller Missbrauch von Gefangenen/Verwahrten usw. ab 14 Jahren § 174a StGB;34
113030;Sexueller Missbrauch - Ausnutzung einer Amtsstellung zum Nachteil von Personen ab 14 Jahren § 174b StGB;1
113040;Sexueller Missbrauch - Ausnutzung eines Beratungs-/Behandlungs-/Betreuungsverhältnisses zum Nachteil von Personen ab 14 Jahren § 174c StGB;169
114000;Sexuelle Belästigung § 184i StGB;9619
115000;Straftaten aus Gruppen § 184j StGB;37
130000;Sexueller Missbrauch §§ 176, 176a, 176b, 179, 182, 183, 183a StGB;20601
131000;Sexueller Missbrauch von Kindern §§ 176, 176a, 176b StGB;11547
131010;Sexuelle Handlungen § 176 Abs. 5 StGB;116
131100;Sexuelle Handlungen § 176 Abs. 1 und 2 StGB;5168
131200;Exhibitionistische/sexuelle Handlungen vor Kindern § 176 Abs. 4 Nr. 1 StGB;1516
131300;Sexuelle Handlungen § 176 Abs. 4 Nr. 2 StGB;465
