143700;Verbreitung von Jugendpornographie gemäß § 184c Abs. 1 StGB;247
200000;Rohheitsdelikte und Straftaten gegen die persönliche Freiheit;788816
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB darunter:;48711
210010;Sonstiger Raub § 249 StGB;3226
210020;Sonstiger schwerer Raub § 250 StGB;1331
210030;Sonstiger Raub mit Todesfolge § 251 StGB;0
210040;Räuberischer Diebstahl § 252 StGB;7737
210050;Sonstige räuberische Erpressung § 255 StGB;3698
211000;Geldinstitute, Postfilialen und -agenturen davon:;280
211100;Raubüberfälle auf Geldinstitute (Banken/Sparkassen);202
211110;Raub auf Geldinstitute (Banken/Sparkassen) § 249 StGB;8
211120;Schwerer Raub auf Geldinstitute (Banken/Sparkassen) § 250 StGB;56
211130;Raub mit Todesfolge auf Geldinstitute (Banken/Sparkassen) § 251 StGB;0
211150;Räuberische Erpressung gegen Geldinstitute (Banken/Sparkassen) § 255 StGB;138
211200;Raub auf Postfilialen und -agenturen;78
211210;Raub auf Postfilialen und -agenturen § 249 StGB;12
211220;Schwerer Raub auf Postfilialen und -agenturen § 250 StGB;46
211230;Raub mit Todesfolge auf Postfilialen und -agenturen § 251 StGB;0
211250;Räuberische Erpressung gegen Postfilialen und -agenturen § 255 StGB;20
212000;sonstige Zahlstellen und Geschäfte darunter:;4748
212010;Raub auf sonstige Zahlstellen oder Geschäfte § 249 StGB;374
212020;Schwerer Raub auf sonstige Zahlstellen oder Geschäfte § 250 StGB;1406
212030;Raub mit Todesfolge auf sonstige Zahlstellen oder Geschäfte § 251 StGB;0
212050;Räuberische Erpressung gegen sonstige Zahlstellen oder Geschäfte § 255 StGB;845
212100;auf Spielhallen;1315
212110;Raub auf Spielhallen § 249 StGB;181
212120;Schwerer Raub auf Spielhallen § 250 StGB;751
212130;Raub mit Todesfolge auf Spielhallen § 251 StGB;0
212150;Räuberische Erpressung gegen Spielhallen § 255 StGB;383
212200;auf Tankstellen;808
212210;Raub auf Tankstellen § 249 StGB;85
212220;Schwerer Raub auf Tankstellen § 250 StGB;397
212230;Raub mit Todesfolge auf Tankstellen § 251 StGB;0
212250;Räuberische Erpressung gegen Tankstellen § 255 StGB;326
213000;Geld- und Werttransporte davon:;133
213100;auf Geld- und Kassenboten;128
213110;Raub auf Geld- und Kassenboten § 249 StGB;61
213120;Schwerer Raub auf Geld- und Kassenboten § 250 StGB;55
213130;Raub mit Todesfolge auf Geld- und Kassenboten § 251 StGB;0
213150;Räuberische Erpressung gegen Geld- und Kassenboten § 255 StGB;12
213200;auf Spezialgeldtransportfahrzeuge;5
213210;Raub auf Spezialgeldtransportfahrzeuge § 249 StGB;2
213220;Schwerer Raub auf Spezialgeldtransportfahrzeuge § 250 StGB;3
213230;Raub mit Todesfolge auf Spezialgeldtransportfahrzeuge § 251 StGB;0
213250;Räuberische Erpressung gegen Spezialgeldtransportfahrzeuge § 255 StGB;0
214000;Räuberischer Angriff auf Kraftfahrer § 316a StGB darunter:;354
214079;Räuberischer Angriff auf sonstige Kraftfahrer;149
214100;Beraubung von Taxifahrern;205
216000;Handtaschenraub;3395
216010;Handtaschenraub gemäß § 249 StGB;3202
216020;Handtaschenraub gemäß § 250 StGB;164
216030;Handtaschenraub mit Todesfolge gemäß § 251 StGB;3
216050;Räuberische Erpressung bei Handtaschenraub gemäß § 255 StGB;26
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;20647
217010;Sonstiger Raub auf Straßen, Wegen oder Plätzen § 249 StGB;13415
217020;Sonstiger schwerer Raub auf Straßen, Wegen oder Plätzen § 250 StGB;2748
217030;Sonstiger Raub mit Todesfolge auf Straßen, Wegen oder Plätzen § 251 StGB;3
217050;Sonstige räuberische Erpressung auf Straßen, Wegen oder Plätzen § 255 StGB;4481
218000;Raub zur Erlangung von Betäubungsmitteln;137
218010;Raub zur Erlangung von Betäubungsmitteln gemäß § 249 StGB;63
218020;Schwerer Raub zur Erlangung von Betäubungsmitteln gemäß § 250 StGB;40
218030;Raub mit Todesfolge  zur Erlangung von Betäubungsmitteln gemäß § 251 StGB;0
218050;Räuberische Erpressung zur Erlangung von Betäubungsmitteln gemäß § 255 StGB;34
219000;Raubüberfälle in Wohnungen;3025
219010;Raub in Wohnungen gemäß § 249 StGB;1385
219020;Schwerer Raub in Wohnungen gemäß § 250 StGB;880
219030;Raub mit Todesfolge in Wohnungen gemäß § 251 StGB;2
219050;Räuberische Erpressung in Wohnungen gemäß § 255 StGB;758
220000;Körperverletzung §§ 223-227, 229, 231 StGB davon:;546576
221000;Körperverletzung mit Todesfolge §§ 227, 231 StGB;81
221010;Körperverletzung mit Todesfolge § 227 StGB;81
221020;Beteiligung an einer Schlägerei mit Todesfolge gemäß § 231 StGB;0
222000;Gefährliche und schwere Körperverletzung §§ 224, 226, 231 StGB darunter:;136077
222010;Sonstige Tatörtlichkeit bei gefährlicher Körperverletzung gemäß § 224 StGB;71626
222020;Sonstige Tatörtlichkeit bei schwerer Körperverletzung § 226 StGB;415
222030;Sonstige Tatörtlichkeit bei Beteiligung an einer Schlägerei ohne Todesfolge § 231 StGB;58
222100;Gefährliche und schwere Körperverletzung auf Straßen, Wegen oder Plätzen;63978
222110;Gefährliche Körperverletzung gemäß § 224 StGB auf Straßen, Wegen oder Plätzen;63691
222120;Schwere Körperverletzung auf Straßen, Wegen oder Plätzen § 226 StGB;240
222130;Beteiligung an einer Schlägerei ohne Todesfolge auf Straßen, Wegen oder Plätzen § 231 StGB ;47
223000;Misshandlung von Schutzbefohlenen § 225 StGB darunter:;4565
223001;Misshandlung Schutzbefohlener ab 14 Jahren ;1115
223100;Misshandlung von Kindern;3450
224000;(Vorsätzliche leichte) Körperverletzung § 223 StGB;383928
225000;Fahrlässige Körperverletzung § 229 StGB;21925
230000;Straftaten gegen die persönliche Freiheit §§ 232-233a, 234, 235, 236, 237, 238-239b, 240, 241, 316c StGB davon:;193529
231000;Menschenraub, Entziehung Minderjähriger, Kinderhandel §§ 234, 235, 236 StGB davon:;1643
231100;Menschenraub § 234 StGB;10
231200;Entziehung Minderjähriger § 235 StGB;1627
231300;Kinderhandel § 236 StGB;6
232000;Zwangsheirat, Nachstellung (Stalking), Freiheitsberaubung, Nötigung, Bedrohung §§ 237, 238, 239, 240, 241 StGB davon:;191146
232100;Freiheitsberaubung § 239 StGB;5060
232200;Nötigung § 240 StGB;62631
232201;Nötigung im Straßenverkehr gemäß § 240 Abs. 1 StGB;28735
232279;Sonstige Nötigung gemäß § 240 Abs. 1 und 4 StGB;33896
232300;Bedrohung § 241 StGB;98807
232400;Nachstellung (Stalking) gemäß § 238 StGB;24592
232410;Nachstellung (Stalking) gemäß § 238, Abs. 1 StGB;24245
232420;Nachstellung (Stalking) gemäß § 238, Abs. 2 StGB;334
232430;Nachstellung (Stalking) gemäß § 238, Abs. 3 StGB;13
