10000;Mitte;84357;707;407;7595;1951;2157;35601;401;3330;3817;845;291;104;6142;1601;4233;15967
10111;Tiergarten Süd;5009;60;35;365;92;128;2271;15;198;296;55;13;6;347;77;231;980
10112;Regierungsviertel;7950;42;20;554;136;152;3692;13;172;352;22;19;4;497;162;170;1057
10113;Alexanderplatz;22974;173;102;1966;500;420;11233;63;587;940;137;43;12;1307;381;1133;3813
10114;Brunnenstraße Süd;4252;40;29;268;64;79;1859;39;182;361;64;18;7;424;172;86;902
10221;Moabit West;7197;66;29;685;210;202;2107;47;322;326;93;28;15;641;91;618;1409
10222;Moabit Ost;9626;48;29;652;150;231;3672;27;240;350;96;39;16;555;96;555;1597
10331;Osloer Straße;6011;61;30;727;168;214;2474;46;289;284;77;31;7;468;116;279;1457
10332;Brunnenstraße Nord;6600;62;42;692;201;209;2537;58;400;328;75;30;10;589;223;415;1399
10441;Parkviertel;6413;64;45;699;159;218;2779;50;492;260;113;33;13;540;86;156;1490
10442;Wedding Zentrum;8090;86;42;968;264;299;2883;43;442;310;113;37;14;759;190;573;1829
19900;Bezirk (Mi), nicht zuzuordnen;235;5;4;19;7;5;94;0;6;10;0;0;0;15;7;17;34
20000;Friedrichshain-Kreuzberg;60290;820;579;5006;1752;1237;25650;387;2120;4094;513;282;102;5349;1454;5232;12431
20101;Südliche Friedrichstadt;8923;125;70;716;200;255;3973;43;447;483;105;41;17;656;103;622;1858
20202;Tempelhofer Vorstadt;12527;119;82;872;283;271;5797;113;525;1182;113;55;23;1320;530;527;2119
20303;nördliche Luisenstadt;5484;94;67;524;215;99;2509;27;238;300;48;26;8;407;84;493;1103
20304;südliche Luisenstadt;6653;182;150;530;251;125;2343;37;219;440;52;44;15;519;104;1310;1316
20405;Karl-Marx-Allee-Nord;2551;38;26;225;58;61;1260;50;132;222;45;8;5;298;59;58;634
20407;Karl-Marx-Allee-Süd;8741;98;74;787;281;160;3618;36;215;334;33;20;9;480;120;770;1573
20506;Frankfurter Allee Nord;4229;30;16;376;109;96;1839;33;84;353;49;48;9;604;118;121;1212
20508;Frankfurter Allee Süd FK;11092;132;92;972;353;168;4273;48;259;775;68;39;15;1062;335;1322;2606
29900;Bezirk (Fh-Kb), nicht zuzuordnen;90;2;2;4;2;2;38;0;1;5;0;1;1;3;1;9;10
30000;Pankow;36710;284;176;3174;651;1156;17202;626;1985;3976;846;201;72;4249;1224;788;8054
30101;Buch;1829;9;5;243;57;91;742;17;78;118;8;26;6;259;51;38;439
30202;Blankenfelde/Niederschönhausen;1633;7;5;106;14;59;671;31;133;151;62;15;7;208;32;22;336
30203;Buchholz;840;3;0;76;10;42;366;7;73;65;29;4;2;87;11;9;165
30304;Karow;870;4;4;81;9;41;369;6;53;93;47;6;4;101;30;21;176
30307;Blankenburg/Heinersdorf/Märchenland;1447;6;4;107;22;48;702;23;115;151;45;9;4;181;40;24;230
30405;Schönholz/Wilhelmsruh/Rosenthal;1102;11;8;81;9;33;536;19;122;51;94;11;5;121;18;8;253
30406;Pankow Zentrum;3109;40;34;240;58;91;1572;47;146;502;58;13;3;311;88;41;659
30408;Pankow Süd;2517;26;15;231;42;101;1093;73;160;352;46;18;7;298;89;46;627
30509;Weißensee;3576;16;9;348;73;137;1728;61;197;350;83;12;6;401;101;68;845
30510;Weißensee Ost;1427;10;4;146;28;53;589;31;107;92;30;9;4;184;34;51;399
30611;Prenzlauer Berg Nordwest;3078;36;25;252;65;70;1391;42;94;380;38;15;2;294;90;154;621
30612;Prenzlauer Berg Nord;2869;22;9;209;39;78;1588;71;171;392;41;11;4;303;89;70;617
30613;Helmholtzplatz;2043;11;8;179;41;52;891;28;60;228;59;8;2;309;132;35;484
30614;Prenzlauer Berg Ost;4317;36;22;331;63;124;2111;76;182;319;72;23;7;496;179;92;828
30715;Prenzlauer Berg Südwest;3253;18;9;379;92;69;1549;38;140;360;70;13;5;372;132;50;754
30716;Prenzlauer Berg Süd;2685;28;14;154;26;66;1251;55;146;362;64;7;4;316;106;46;603
39900;Bezirk (Pk), nicht zuzuordnen;115;1;1;11;3;1;53;1;8;10;0;1;0;8;2;13;18
40000;Charlottenburg-Wilmersdorf;49791;420;212;4131;969;1484;22571;575;3352;3088;1096;225;122;3911;852;1174;10407
