40514;Düsseldorfer Straße;3961;36;22;225;43;106;2084;66;413;315;101;9;5;338;147;59;710
40515;Barstraße;1604;9;5;136;28;47;805;26;142;195;29;8;1;97;16;27;295
40516;Volkspark Wilmersdorf;4687;43;24;263;60;88;2153;54;313;418;57;10;4;229;43;71;666
40617;Forst Grunewald;131;0;0;13;4;4;80;0;14;3;0;4;4;10;2;2;19
49900;Bezirk (Ch-Wi), nicht zuzuordnen;1866;34;30;112;32;71;1178;53;256;88;0;6;3;116;11;32;294
50000;Spandau;26166;265;155;2909;670;1052;11982;307;1721;1071;705;166;67;2324;304;446;6370
50101;Hakenfelde;1888;14;8;204;46;64;953;28;187;84;55;20;10;173;11;21;456
50102;Falkenhagener Feld;3120;28;12;432;86;173;1284;42;233;147;106;29;10;322;36;38;977
50103;Spandau Mitte;6017;78;53;697;179;236;2606;39;279;271;75;16;5;451;57;179;1374
50204;Brunsbütteler Damm;1670;13;6;158;33;52;807;34;135;60;81;14;4;201;25;20;390
50205;Heerstraße Nord;2820;26;13;417;93;137;1103;20;155;64;115;32;14;351;96;40;908
50206;Wilhelmstadt;5438;50;22;548;131;188;2642;41;295;240;130;18;6;410;33;67;1206
50307;Haselhorst;1842;21;9;174;34;63;900;37;154;68;29;18;8;123;16;30;377
50308;Siemensstadt;1627;11;8;128;27;56;824;22;115;66;19;7;3;162;22;21;341
50409;Gatow/Kladow;966;4;4;98;21;47;472;28;65;49;94;8;3;80;3;8;198
59900;Bezirk (Sp), nicht zuzuordnen;778;20;20;53;20;36;391;16;103;22;1;4;4;51;5;22;143
60000;Steglitz-Zehlendorf;25500;162;88;1742;347;747;13972;601;2610;2543;1162;142;66;2541;498;361;4528
60101;Schloßstr.;4169;36;20;188;44;60;2621;37;207;384;66;8;5;197;35;26;492
60102;Albrechtstr.;3361;23;9;264;43;129;1618;103;362;266;127;31;21;344;45;62;771
60203;Lankwitz;2881;23;12;250;54;110;1249;88;228;111;95;29;9;337;39;79;607
60204;Ostpreußendamm;2382;11;5;246;47;79;1179;67;242;240;105;14;8;303;41;36;566
60305;Teltower Damm;2631;13;10;192;29;83;1414;48;196;489;150;9;2;303;46;35;481
60306;Drakestr.;3333;14;8;239;49;97;1944;92;413;304;204;8;3;286;56;41;584
60407;Zehlendorf Südwest;1979;11;3;147;30;78;1030;43;228;158;115;15;6;198;28;28;367
60408;Zehlendorf Nord;3974;20;14;182;45;84;2408;107;647;463;298;15;4;504;201;42;546
69900;Bezirk (St-Zd), nicht zuzuordnen;790;11;7;34;6;27;509;16;87;128;2;13;8;69;7;12;114
70000;Tempelhof-Schöneberg;40590;415;255;3286;696;1145;20586;745;3072;3032;986;226;90;3414;618;1041;8040
70101;Schöneberg-Nord;9610;158;101;771;198;236;4929;71;460;649;157;29;12;685;97;293;1964
70202;Schöneberg-Süd;6734;43;28;535;105;166;3348;79;360;769;127;27;14;484;84;178;1300
70303;Friedenau;4685;37;25;234;43;106;2899;83;437;511;79;24;14;405;109;50;760
70404;Tempelhof;8792;68;32;716;156;265;4156;197;761;456;116;48;9;740;178;236;1674
70505;Mariendorf;4121;33;17;361;74;147;1922;109;411;166;212;39;21;470;80;90;933
70606;Marienfelde;2271;20;11;257;44;75;1073;55;179;159;49;22;6;217;16;54;504
70707;Lichtenrade;3062;22;11;345;61;100;1433;114;340;175;246;24;9;317;35;103;700
79900;Bezirk (Th-Sb), nicht zuzuordnen;1315;34;30;67;15;50;826;37;124;147;0;13;5;96;19;37;205
80000;Neukölln;45437;513;290;4026;1190;1411;22311;633;3118;2175;1228;239;116;4060;641;1107;10662
80101;Schillerpromenade;5089;67;38;563;189;151;2423;29;264;262;102;29;15;451;105;333;1424
80102;Neuköllner Mitte/Zentrum;9409;114;56;755;241;198;4823;56;387;377;124;33;14;637;88;174;1796
80103;Reuterstraße;6578;76;43;500;160;164;3379;29;261;486;109;22;12;527;190;154;1346
80104;Rixdorf;5150;68;38;483;150;157;2506;56;338;408;132;33;19;495;70;141;1443
80105;Köllnische Heide;2714;17;8;239;59;101;1368;54;277;48;72;17;9;299;22;70;786
80206;Britz;5356;55;31;471;115;191;2431;112;566;166;218;47;24;482;64;71;1285
80207;Buckow;1603;12;9;180;51;76;653;50;193;39;98;13;5;198;20;20;423
80308;Gropiusstadt;4022;47;32;338;96;148;1902;54;236;152;84;18;5;532;48;53;1061
80409;Buckow Nord;1075;5;0;100;20;42;547;26;117;48;36;5;3;71;5;12;234
80410;Rudow;3074;24;14;313;74;120;1461;142;324;143;253;14;6;313;23;37;666
89900;Bezirk (Nk), nicht zuzuordnen;1367;28;21;84;35;63;818;25;155;46;0;8;4;55;6;42;198
90000;Treptow-Köpenick;23871;146;85;2139;451;718;12524;676;1772;2772;693;161;81;2388;513;371;4979
90101;Alt-Treptow;2086;35;21;149;36;41;1197;22;111;319;38;18;10;180;45;71;378
90102;Plänterwald;1264;6;4;72;18;18;660;60;119;108;41;4;2;106;28;9;227
